DATE,y
25/10/2020,88760
01/11/2020,81150
8/11/2020,79010
15/11/2020,84210
22/11/2020,64210
29/11/2020,78790
6/12/2020,86930
13/12/2020,85410
20/12/2020,
27/12/2020,59910
03/01/2021,111190
10/01/2021,143250
17/01/2021,121180
24/01/2021,126510
31/01/2021,123230
07/02/2021,119420
14/02/2021,102740
21/02/2021,115990
28/02/2021,119860
07/03/2021,121670
14/03/2021,123860
21/03/2021,125910
28/03/2021,122060
04/04/2021,117260
11/04/2021,130260
18/04/2021,130320
25/04/2021,134780
02/05/2021,127360
09/05/2021,115740
16/05/2021,123120
23/05/2021,117970
30/05/2021,96120
06/06/2021,109200
13/06/2021,88510
20/06/2021,123070
27/06/2021,100970
04/07/2021,84240
11/07/2021,101830
18/07/2021,98970
25/07/2021,96610
01/08/2021,97130
08/08/2021,95490
15/08/2021,95200
22/08/2021,95750
29/08/2021,95510
05/09/2021,80360
12/09/2021,97000
19/09/2021,96380
26/09/2021,93340
03/10/2021,92720
10/10/2021,87270
17/10/2021,73580
24/10/2021,113020
31/10/2021,88540
7/11/2021,74800
14/11/2021,103950
21/11/2021,69580
28/11/2021,82140
5/12/2021,91140
12/12/2021,91090
19/12/2021,69740
26/12/2021,42340
02/01/2022,113080
09/01/2022,112830
16/01/2022,106230
23/01/2022,117370
30/01/2022,111980
06/02/2022,114060
13/02/2022,111430
20/02/2022,112470
27/02/2022,118550
06/03/2022,115470
13/03/2022,114030
20/03/2022,110010
27/03/2022,105420
03/04/2022,107210
10/04/2022,108490
17/04/2022,120270
24/04/2022,110260
01/05/2022,105200
08/05/2022,101030
15/05/2022,103300
22/05/2022,101000
29/05/2022,84440
05/06/2022,104200
12/06/2022,99670
19/06/2022,88500
26/06/2022,96550
03/07/2022,76580
10/07/2022,96210
17/07/2022,97830
24/07/2022,94960
31/07/2022,91780
07/08/2022,93500
14/08/2022,93280
21/08/2022,95520
28/08/2022,96180
04/09/2022,80700
11/09/2022,96660
18/09/2022,95460
25/09/2022,93390
02/10/2022,94440
9/10/2022,89480
16/10/2022,92570
23/10/2022,92650
30/10/2022,88070
6/11/2022,90200
13/11/2022,84060
20/11/2022,65610
27/11/2022,79220
4/12/2022,89420
11/12/2022,88530
18/12/2022,84190
25/12/2022,33390
01/01/2023,86710
08/01/2023,129000
15/01/2023,103770
22/01/2023,122030
29/01/2023,122900
05/02/2023,118240
12/02/2023,113590
19/02/2023,110620
26/02/2023,124140
05/03/2023,123080
12/03/2023,128180
19/03/2023,123450
26/03/2023,119170
02/04/2023,112410
09/04/2023,111680
16/04/2023,115950
23/04/2023,117670
30/04/2023,115210
07/05/2023,107940
14/05/2023,110790
21/05/2023,110030
28/05/2023,89770
04/06/2023,110030
11/06/2023,110850
18/06/2023,105580
25/06/2023,109300
02/07/2023,84580
09/07/2023,111340
16/07/2023,110720
23/07/2023,106370
30/07/2023,105100
06/08/2023,105050
13/08/2023,103900
20/08/2023,103320
27/08/2023,105280
03/09/2023,90970
10/09/2023,106450
17/09/2023,105710
24/09/2023,104680
01/10/2023,103870
8/10/2023,95640
15/10/2023,105200
22/10/2023,99200
29/10/2023,94970
5/11/2023,95230
12/11/2023,94720
19/11/2023,75520
26/11/2023,86870
03/12/2023,97740
10/12/2023,92350
17/12/2023,91570
24/12/2023,34610
31/12/2023,96610
07/01/2024,124860
14/01/2024,105510
21/01/2024,118940
28/01/2024,130170
04/02/2024,121480
11/02/2024,107870
18/02/2024,110600
25/02/2024,116490
03/03/2024,115430
10/03/2024,116050
17/03/2024,120450
24/03/2024,119750
31/03/2024,109640
07/04/2024,110130
14/04/2024,109820
21/04/2024,114960
28/04/2024,109240
05/05/2024,108810
12/05/2024,101800
19/05/2024,100360
26/05/2024,85530
02/06/2024,103750
09/06/2024,102530
16/06/2024,95610
23/06/2024,100490
30/06/2024,78420
07/07/2024,96040
14/07/2024,95670
21/07/2024,94090
28/07/2024,93300
04/08/2024,93710
11/08/2024,97170
18/08/2024,98520
25/08/2024,100120
01/09/2024,83160
08/09/2024,96850
15/09/2024,96080
22/09/2024,94350
29/09/2024,90200
06/10/2024,91010
13/10/2024,92320
20/10/2024,91210
27/10/2024,94540
03/11/2024,93190
10/11/2024,91170
17/11/2024,93000
24/11/2024,74210
01/12/2024,80630
08/12/2024,92630
15/12/2024,90500
22/12/2024,58840
29/12/2024,11050
05/01/2025,139070
12/01/2025,136500
19/01/2025,99490
26/01/2025,112070
02/02/2025,113300
09/02/2025,111190
16/02/2025,102970
23/02/2025,113640
02/03/2025,117290
09/03/2025,130280
16/03/2025,130770
23/03/2025,120470
30/03/2025,118880
06/04/2025,117080
13/04/2025,114960
20/04/2025,120190
27/04/2025,113080
04/05/2025,116720
11/05/2025,108260
18/05/2025,109490
25/05/2025,92270
01/06/2025,106540
08/06/2025,109780
15/06/2025,91210
22/06/2025,122120
29/06/2025,109320
06/07/2025,100640
13/07/2025,105700
20/07/2025,105980
27/07/2025,93270
03/08/2025,98790
10/08/2025,124150
17/08/2025,85870
24/08/2025,121000
31/08/2025,109790
07/09/2025,105190
14/09/2025,119910
21/09/2025,111600
28/09/2025,112550
05/10/2025,104700
12/10/2025,99800
19/10/2025,108220
