ds,Temperature
10-2021,26.451212
11-2021,25.72292
12-2021,23.191256
1-2022,24.35178
2-2022,24.833908
3-2022,27.82787
4-2022,27.793493
5-2022,27.255339
6-2022,27.968105
7-2022,27.56121
8-2022,27.069473
9-2022,26.60929
10-2022,25.879179
11-2022,25.908932
12-2022,23.382956
1-2023,22.913641
2-2023,25.499731
3-2023,27.463602
4-2023,30.1663
5-2023,29.531336
6-2023,28.302465
7-2023,28.071453
8-2023,27.672049
9-2023,27.03916
10-2023,26.972433
11-2023,25.828026
12-2023,25.030151
1-2024,24.891027
2-2024,26.893929
3-2024,28.624893
4-2024,31.46329
5-2024,29.433048
6-2024,28.443617
7-2024,27.382597
8-2024,27.607204
9-2024,27.171785
10-2024,26.99728
11-2024,25.754597
12-2024,23.979416
1-2025,22.309145
2-2025,25.558664
3-2025,27.585611
4-2025,28.68435
5-2025,27.907331
6-2025,27.727537
7-2025,27.230782
8-2025,27.254652
9-2025,26.831207
10-2025,26.574451
11-2025,24.093275
12-2025,23.931515
1-2026,22.805643
